2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
MHFI,PPL,MYL,ISRG,CMI,STT,ZBH,ALXN,SRE,MNST,WMB
SYY,MHFI,SRE,TEL,YUM,ED,HPQ,MNST,SBAC,MCHP,MNST
PCAR,PCAR,WM,HCN,FISV,EA,YUM,PPG,SLB,IQV,O
KR,USD,ZTS,MTB,CCL,CNC,INFO,VRSK,DD,SPG,DLR
PRGO,APA,ADM,AVB,DXC,LUV,ED,JCI,LHX,STZ,MET
DISCA,DVN,STI,AAL,SRE,MCO,REGN,HPQ,DOW,MSCI,OKE
SRE,PRGO,ROST,APA,APH,FOX,PEG,TDG,EBAY,NEM,A
STI,BRCM,GLW,USD,PH,VFC,AVB,CMI,PH,PH,KMB
M,SYY,SYY,DVN,ALXN,GIS,WEC,ALL,PXD,PAYX,BK
WM,M,AMAT,EA,WY,HAL,WMB,INFO,PPG,TEL,HES
EL,IP,HPQ,EQR,ROP,ADM,STT,EBAY,STZ,PRU,LHX
PH,LO,UAL,EIX,ED,STI,AZO,YUM,GIS,YUM,OXY
OMC,CTL,EA,PPL,SWK,IR,TROW,ORLY,PRU,ECL,CHTR
TYC,TROW,VFC,FISV,MNST,PXD,EQR,AIG,ROK,CHTR,CNC
PPL,PXD,HCA,CAH,PEG,OKE,KLAC,ZBH,YUM,ALL,D
A,HUM,PRGO,GLW,MTB,APC,TDG,ANSS,O,ENPH,JCI
LUMN,WM,BXLT,STJ,DLTR,TROW,ES,SBAC,SYY,KMI,URI
LO,STI,DG,MU,TROW,DLR,IQV,PRU,ROST,DOW,STZ
FITB,STX,FISV,AZO,FCX,KR,MSI,CTAS,SIVB,COF,DOW
PLD,BEN,BAX,ADI,ROK,WEC,EBAY,HLT,MPC,HAL,AMP
WY,SNDK,SHW,WY,WMB,ALXN,PCAR,CARR,GPN,CARR,PCG
STX,ZTS,CBS,ED,AMP,XLNX,CMI,RMD,CTAS,PCAR,ADM
PCG,AVB,ISRG,PCAR,PCAR,A,SBAC,PSX,MTD,HSY,PAYX
STJ,DLPH,ABC,VTR,HCA,DLTR,TSN,BLL,TRV,NUE,AME
